date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:01:18	6413/6413	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2002%20Jan%202025%2020:01:17%20GMT	https://bradpotterbaum-com.webflow.io/robots.txt		(from )
14:01:18	20235/20235	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Jan%202025%2019:43:07%20GMT	https://bradpotterbaum-com.webflow.io/	/Users/potterbaum/websites/bradpotterbaum.com/bradpotterbaum-com.webflow.io/index.html	(from )
14:01:19	48383/48383	---M-Z	200	added ('OK')	text/css	etag:%22ac99e4df3ab428269ae57298cbcff23d%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/css/bradpotterbaum-com.webflow.98732ecd2.min.css	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/css/bradpotterbaum-com.webflow.98732ecd2.min.css	(from https://bradpotterbaum-com.webflow.io/)
14:01:20	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	/Users/potterbaum/websites/bradpotterbaum.com/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://bradpotterbaum-com.webflow.io/)
14:01:20	641/641	---M--	200	added ('OK')	image/png	etag:%220b40b47637fc07f6441b5e65c2b5e755%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5baa6b5edd67521c8cba23e7_Oval%202.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5baa6b5edd67521c8cba23e7_Oval%202.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:22	47591/47591	---M--	200	added ('OK')	image/png	etag:%2202bd60913fe486258a8dd04ef48c57f9%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5baa6be3da526a718c5abe69_face.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5baa6be3da526a718c5abe69_face.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:24	40886/40886	---M--	200	added ('OK')	image/png	etag:%22283cdeb5c335c1bde01401919620c8d7%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba1014d83f4615e2b883563_Potterbaum%20Portfolio%20Site.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba1014d83f4615e2b883563_Potterbaum%20Portfolio%20Site.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:24	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	/Users/potterbaum/websites/bradpotterbaum.com/www.google-analytics.com/analytics.js	(from https://bradpotterbaum-com.webflow.io/)
14:01:24	783/783	---M--	200	added ('OK')	image/png	etag:%228e4aed171b6e3a48c1062cd6f3095b09%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba1037965cd17555ae9c7d4_Design%20Director%20-%20Bradley%20Haynes-0.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba1037965cd17555ae9c7d4_Design%20Director%20-%20Bradley%20Haynes-0.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:25	1704/1704	---M--	200	added ('OK')	image/png	etag:%220567791802e431f19b9fce7e14059d81%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba103796cf3f83611f772cc_Design%20Director%20-%20Bradley%20Haynes-1.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba103796cf3f83611f772cc_Design%20Director%20-%20Bradley%20Haynes-1.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:26	1331/1331	---M--	200	added ('OK')	image/png	etag:%2224aefea4e160c048340b76ebdf49e226%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba103790777e76e94faefa4_Design%20Director%20-%20Bradley%20Haynes-2.png	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5ba103790777e76e94faefa4_Design%20Director%20-%20Bradley%20Haynes-2.png	(from https://bradpotterbaum-com.webflow.io/)
14:01:29	446988/446988	---M--	200	added ('OK')	image/jpeg	etag:%22b89e4ae6c628fe61a722819eec0717e2%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bcdf99f1740e39a94bbbdc6_two%20iphone.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bcdf99f1740e39a94bbbdc6_two%20iphone.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:29	1012428/1012428	---M--	200	added ('OK')	image/jpeg	etag:%2291d74ca2f25c20abf1b0351c3e29ca1f%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd74eb5a659b08ed4a4174_Dest_combo.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd74eb5a659b08ed4a4174_Dest_combo.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:31	274767/274767	---M--	200	added ('OK')	image/jpeg	etag:%221b6751604745164d3bd7b2f1a5a14f9a%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd1abff47509caa83aaa36_trips_phones.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd1abff47509caa83aaa36_trips_phones.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:33	291893/291893	---M--	200	added ('OK')	image/jpeg	etag:%227339f7c4a3c88ef33a6a3b73a1381a26%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd52e3d3792039254c5ab1_Guides%20combo.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd52e3d3792039254c5ab1_Guides%20combo.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:33	529853/529853	---M--	200	added ('OK')	image/jpeg	etag:%22e39a07ab559daadc1021ff748c3664e5%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd1e4da62f7c8ec9573250_Profile%20images.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd1e4da62f7c8ec9573250_Profile%20images.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:33	163154/163154	---M--	200	added ('OK')	image/jpeg	etag:%2206e0078438904f4fd359a12e223d254e%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd0937f5a57958cbe99594_prosess_graphic.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd0937f5a57958cbe99594_prosess_graphic.jpg	(from https://bradpotterbaum-com.webflow.io/)
14:01:36	372113/372113	---M--	200	added ('OK')	image/jpeg	etag:%22806b89c82843d091f10623a61b959d6f%22	https://cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd5c6292b27a16905f099a_article.jpg	/Users/potterbaum/websites/bradpotterbaum.com/cdn.prod.website-files.com/5ba0fce965cd1715eae9beb1/5bbd5c6292b27a16905f099a_article.jpg	(from https://bradpotterbaum-com.webflow.io/)
